OID_,BBNA_code,date_added,data_source,Institution,dataset_notes_1,data_restrictions_1,data_restrictions_2,subgenus,genus,species,sex,caste,det_as,det_by,date,month,day,year,dayno,observers,code_1,code_2,code_3,code_4,code_5,continent_verbatim,continent,country_verbatim,country,county_verbatim,state_prov,county,location,site,latitude,longitude,coordinates,coordinates_X,coordinates_Y,elev_m_ETOPO1,geo_notes_1,geo_notes_2,doi,link,notes_1,notes_2,notes_3,notes_4,notes_5,plant_host_genus,plant_host_notes,plant_host_species,plant_host_verbatim
1,BBNA_882,,McGill University,Lyman Entomological Collection--McGill University,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,,7/11/1918 0:00:00,7,11,1918,192,P.W. Fattig,5674,,,,,North America,North America,USA,USA,,Florida,,Gainesville,,29.651634000000001,-82.324826000000002,"29.652, -82.325",-82.325000000000003,29.652000000000001,38,,,,,,,,,,,,,
2,BBNA_883,,McGill University,Lyman Entomological Collection--McGill University,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,,9/16/1918 0:00:00,9,16,1918,259,P.W. Fattig,5673,,,,,North America,North America,USA,USA,,Florida,,Gainesville,,29.651634000000001,-82.324826000000002,"29.652, -82.325",-82.325000000000003,29.652000000000001,38,,,,,,,,,,,,,
3,BBNA_884,,McGill University,Lyman Entomological Collection--McGill University,,,,Cullumanobombus,Bombus,fraternus,Male,Male,,,8/23/1918 0:00:00,8,23,1918,235,P.W. Fattig,5672,,,,,North America,North America,USA,USA,,Florida,,Gainesville,,29.651634000000001,-82.324826000000002,"29.652, -82.325",-82.325000000000003,29.652000000000001,38,,,,,,,,,,,,,
4,BBNA_1662,,Sheila Colla,,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,S.R.Colla,7/15/1985 0:00:00,7,15,1985,196,G.E. Snyder,2000,,,,,North America,North America,USA,USA,Lee,Alabama,Lee,Auburn,,32.609856999999998,-85.480782000000005,"32.61, -85.481",-85.480999999999995,32.609999999999999,220,,,,,SRC,,,,,Lespedeza,,,Lespedeza 
5,BBNA_1717,,Cory Sheffield BOLD,York University,,,,Cullumanobombus,Bombus,fraternus,Female,Female,,Sheila Colla,3/29/2006 0:00:00,3,29,2006,88,"E. Willis, SR Colla",CCDB-06704 B04,,,,,North America,North America,USA,USA,,Georgia,,,Laura Walker Nature Reserve,31.540000899999999,-84.315002399999997,"31.54, -84.315",-84.314999999999998,31.539999999999999,64,,,,,York University,,,,,,,,
6,BBNA_4166,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,,,,H.E. Milliron,,9,,1902,,JC Bridwell,,,,,,North America,North America,USA,USA,,,,Griffin,,33.240000000000002,-84.260000000000005,"33.24, -84.26",-84.260000000000005,33.240000000000002,283,LLR: georef,,,,,No day of month specified by Milliron,,,georef by LLR,,,,
7,BBNA_4212,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,4/2/1915 0:00:00,4,2,1915,92,L Kleban,,,,,,North America,North America,USA,USA,,,,,Agricultural College,32.350000000000001,-89.400000000000006,"32.35, -89.4",-89.400000000000006,32.350000000000001,144,LLR: georef,,,,,,,,georef by LLR,,,,
8,BBNA_4246,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Queen,,H.E. Milliron,4/3/1928 0:00:00,4,3,1928,94,,,,,,,North America,North America,USA,USA,,,,Orlando,,28.539999999999999,-81.379999999999995,"28.54, -81.38",-81.379999999999995,28.539999999999999,36,LLR: georef,,,,,,,,georef by LLR,,,,
9,BBNA_4367,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Male,Male,,H.E. Milliron,9/8/1909 0:00:00,9,8,1909,251,,,,,,,North America,North America,USA,USA,,,,Saint Simon's Island,,31.149999999999999,-81.370000000000005,"31.15, -81.37",-81.370000000000005,31.149999999999999,0,LLR: georef,,,,holotype,,,,georef by LLR,,,,
10,BBNA_4371,,Milliron 1970-1973,digitized from publication,,,,Cullumanobombus,Bombus,fraternus,Female,Worker,,H.E. Milliron,9/8/1931 0:00:00,9,8,1931,251,Bradley and Knorr,,,,,,North America,North America,USA,USA,Saint John,,Saint John,Vilano Beach,,29.940000000000001,-81.299999999999997,"29.94, -81.3",-81.299999999999997,29.940000000000001,-2,LLR: georef,,,,,,,,georef by LLR,,,,
